BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00204964
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.380758
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
7.37872 0.0187674 0.301651 5.04734 16.8377 0.932315 0.0744026 0.0822936 0.106484 1.21049 0.0309327 0.00155625 0.240975 
7.4855 0.0181836 0.302899 5.06707 16.9 0.939941 0.074155 0.0820153 0.106154 1.20859 0.0309385 0.00155741 0.240596 
7.59227 0.0175985 0.304149 5.08725 16.9633 0.947643 0.0739073 0.0817367 0.105823 1.20668 0.0309443 0.00155858 0.240216 
7.69905 0.0170119 0.305402 5.10789 17.0276 0.95542 0.0736594 0.081458 0.105491 1.20477 0.0309501 0.00155975 0.239836 
7.80582 0.016424 0.306658 5.129 17.093 0.963275 0.0734114 0.0811791 0.105159 1.20286 0.0309558 0.00156093 0.239456 
7.9126 0.0158346 0.307916 5.15057 17.1593 0.971208 0.0731632 0.0808999 0.104827 1.20094 0.0309616 0.0015621 0.239075 
8.01938 0.0152439 0.309178 5.17262 17.2267 0.979221 0.072915 0.0806206 0.104495 1.19903 0.0309674 0.00156328 0.238694 
8.12615 0.0146517 0.310442 5.19515 17.2952 0.987313 0.0726666 0.0803411 0.104162 1.19711 0.0309731 0.00156445 0.238312 
8.23293 0.0140582 0.311709 5.21818 17.3648 0.995487 0.0724181 0.0800613 0.103829 1.19519 0.0309788 0.00156563 0.23793 
8.3397 0.0134632 0.312978 5.24171 17.4354 1.00374 0.0721694 0.0797814 0.103495 1.19327 0.0309845 0.00156682 0.237547 
8.44648 0.0128668 0.31425 5.26574 17.5071 1.01208 0.0719206 0.0795013 0.103161 1.19135 0.0309902 0.001568 0.237164 
8.55326 0.0122689 0.315525 5.29029 17.58 1.02051 0.0716717 0.0792209 0.102827 1.18942 0.0309959 0.00156918 0.236781 
8.66003 0.0116696 0.316802 5.31535 17.6539 1.02902 0.0714227 0.0789404 0.102492 1.18749 0.0310016 0.00157037 0.236397 
8.76681 0.0110689 0.318081 5.34095 17.7291 1.03761 0.0711736 0.0786597 0.102157 1.18556 0.0310073 0.00157156 0.236013 
8.87359 0.0104667 0.319363 5.36709 17.8054 1.0463 0.0709243 0.0783788 0.101822 1.18363 0.0310129 0.00157275 0.235628 
8.98036 0.009863 0.320647 5.39377 17.8828 1.05507 0.0706749 0.0780977 0.101486 1.1817 0.0310186 0.00157394 0.235243 
9.08714 0.00925787 0.321933 5.421 17.9615 1.06394 0.0704254 0.0778163 0.10115 1.17976 0.0310242 0.00157514 0.234858 
9.19391 0.00865126 0.323221 5.4488 18.0413 1.07289 0.0701758 0.0775348 0.100813 1.17782 0.0310298 0.00157633 0.234472 
9.30069 0.00804317 0.324511 5.47716 18.1224 1.08194 0.0699261 0.0772532 0.100476 1.17588 0.0310354 0.00157753 0.234085 
9.40747 0.0074336 0.325803 5.50611 18.2048 1.09108 0.0696762 0.0769713 0.100139 1.17394 0.031041 0.00157873 0.233699 
9.51424 0.00682252 0.327098 5.53565 18.2883 1.10032 0.0694262 0.0766892 0.0998015 1.17199 0.0310465 0.00157993 0.233311 
9.62102 0.00620995 0.328393 5.56578 18.3732 1.10966 0.0691761 0.0764069 0.0994635 1.17005 0.0310521 0.00158113 0.232924 
9.72779 0.00559586 0.329691 5.59652 18.4594 1.11909 0.0689259 0.0761245 0.0991251 1.1681 0.0310576 0.00158234 0.232536 
9.83457 0.00498026 0.33099 5.62787 18.5468 1.12862 0.0686756 0.0758418 0.0987863 1.16614 0.0310631 0.00158354 0.232147 
9.94135 0.00436313 0.332291 5.65985 18.6356 1.13825 0.0684252 0.075559 0.0984472 1.16419 0.0310687 0.00158475 0.231758 
10.0481 0.00374448 0.333594 5.69247 18.7258 1.14799 0.0681746 0.075276 0.0981077 1.16223 0.0310741 0.00158596 0.231369 
10.1549 0.00312428 0.334898 5.72573 18.8173 1.15782 0.0679239 0.0749927 0.0977679 1.16028 0.0310796 0.00158717 0.230979 
10.2617 0.00250255 0.336203 5.75964 18.9102 1.16777 0.0676732 0.0747093 0.0974276 1.15831 0.0310851 0.00158839 0.230588 
10.3685 0.00187926 0.337509 5.79422 19.0045 1.17782 0.0674223 0.0744258 0.097087 1.15635 0.0310905 0.0015896 0.230198 
10.4752 0.00125441 0.338816 5.82947 19.1002 1.18797 0.0671713 0.074142 0.0967461 1.15439 0.031096 0.00159082 0.229806 
10.582 0.00062799 0.340124 5.86541 19.1974 1.19824 0.0669202 0.073858 0.0964047 1.15242 0.0311014 0.00159204 0.229415 
10.6888 0 0.341434 5.90205 19.296 1.20862 0.066669 0.0735739 0.096063 1.15045 0.0311068 0.00159326 0.229023 
