BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00198205
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.393543
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
8.58298 0.010847 0.321605 5.72738 18.9024 1.04602 0.0698501 0.0766349 0.100723 1.20303 0.0294798 0.0014516 0.23949 
8.68881 0.0102878 0.323227 5.75943 18.9986 1.05502 0.0695507 0.0762805 0.100332 1.20122 0.029485 0.00145263 0.23913 
8.79463 0.00972724 0.324856 5.79208 19.0962 1.06412 0.0692514 0.0759264 0.0999396 1.19941 0.0294902 0.00145367 0.238769 
8.90046 0.00916544 0.326493 5.82532 19.1951 1.07332 0.0689523 0.0755725 0.0995476 1.19759 0.0294954 0.00145471 0.238407 
9.00628 0.00860237 0.328137 5.85918 19.2955 1.08262 0.0686533 0.0752187 0.0991554 1.19577 0.0295006 0.00145575 0.238045 
9.11211 0.00803802 0.329789 5.89366 19.3972 1.09202 0.0683545 0.0748652 0.0987632 1.19395 0.0295058 0.00145679 0.237683 
9.21793 0.00747239 0.331448 5.92877 19.5005 1.10152 0.0680558 0.074512 0.0983708 1.19213 0.0295109 0.00145783 0.237321 
9.32376 0.00690547 0.333115 5.96451 19.6052 1.11112 0.0677572 0.0741589 0.0979784 1.19031 0.0295161 0.00145887 0.236958 
9.42958 0.00633726 0.334788 6.00091 19.7114 1.12082 0.0674588 0.0738061 0.0975858 1.18849 0.0295212 0.00145992 0.236595 
9.53541 0.00576775 0.33647 6.03797 19.8191 1.13063 0.0671606 0.0734535 0.0971931 1.18666 0.0295264 0.00146097 0.236231 
9.64123 0.00519694 0.338158 6.0757 19.9284 1.14055 0.0668625 0.0731012 0.0968004 1.18483 0.0295315 0.00146202 0.235867 
9.74706 0.00462482 0.339854 6.11412 20.0392 1.15058 0.0665645 0.0727491 0.0964075 1.183 0.0295366 0.00146307 0.235503 
9.85288 0.00405138 0.341558 6.15322 20.1516 1.16072 0.0662667 0.0723972 0.0960146 1.18117 0.0295417 0.00146412 0.235138 
9.95871 0.00347662 0.343268 6.19304 20.2656 1.17096 0.065969 0.0720455 0.0956216 1.17933 0.0295468 0.00146517 0.234773 
10.0645 0.00290053 0.344986 6.23357 20.3813 1.18133 0.0656716 0.0716941 0.0952284 1.1775 0.0295519 0.00146622 0.234407 
10.1704 0.00232311 0.346712 6.27482 20.4986 1.1918 0.0653742 0.071343 0.0948352 1.17566 0.0295569 0.00146728 0.234041 
10.2762 0.00174436 0.348444 6.31682 20.6176 1.2024 0.0650771 0.0709921 0.0944419 1.17382 0.029562 0.00146834 0.233675 
10.382 0.00116426 0.350184 6.35957 20.7383 1.21311 0.0647801 0.0706414 0.0940485 1.17198 0.029567 0.0014694 0.233308 
10.4878 0.000582807 0.351931 6.40308 20.8607 1.22394 0.0644832 0.0702911 0.0936551 1.17013 0.029572 0.00147046 0.232941 
10.5937 0 0.353686 6.44737 20.9848 1.2349 0.0641865 0.0699409 0.0932615 1.16829 0.0295771 0.00147152 0.232573 
